,CLASS,PACKAGE,KILLED,MEMORY_ERROR,NO_COVERAGE,SURVIVED,TIMED_OUT,Total_Mutant,Mutation_Score,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,Statement_Percentage,Branch_Percentage,CC
78,MutableShort,org.apache.commons.lang3.mutable,36,0,0,0,0,36,100.0,0,226,0,4,0,60,0,33,0,31,100.0,100.0,33
79,MutableTriple,org.apache.commons.lang3.tuple,4,0,0,0,0,4,100.0,0,43,0,0,0,17,0,9,0,9,100.0,,9
80,NotImplementedException,org.apache.commons.lang3,1,0,0,0,0,1,100.0,0,41,0,0,0,16,0,7,0,7,100.0,,7
81,NumberUtils,org.apache.commons.lang3.math,409,0,9,55,0,473,86.46934460887951,30,1754,32,378,7,447,29,245,1,67,98.45814977973568,92.19512195121952,274
82,NumericEntityEscaper,org.apache.commons.lang3.text.translate,19,0,0,0,0,19,100.0,0,76,0,10,0,20,0,12,0,7,100.0,100.0,12
83,NumericEntityUnescaper,org.apache.commons.lang3.text.translate,50,0,0,2,1,53,96.22641509433964,5,262,5,45,0,44,6,26,1,6,100.0,90.0,32
84,ObjectUtils,org.apache.commons.lang3,93,0,0,17,0,110,84.54545454545455,31,688,1,87,6,161,1,82,0,39,96.40718562874252,98.86363636363636,83
85,OctalUnescaper,org.apache.commons.lang3.text.translate,28,0,0,2,1,31,93.54838709677419,2,114,4,20,0,17,4,12,0,4,100.0,83.33333333333334,16
86,Pair,org.apache.commons.lang3.tuple,17,0,0,0,0,17,100.0,2,106,1,11,0,17,1,14,0,9,100.0,91.66666666666666,15
87,Processor,org.apache.commons.lang3.arch,7,0,0,0,0,7,100.0,42,128,0,0,2,27,4,12,4,12,93.10344827586206,,16
88,RandomStringUtils,org.apache.commons.lang3,42,2,0,3,16,61,95.08196721311475,9,314,0,58,1,71,1,49,1,20,98.61111111111111,100.0,50
89,RandomUtils,org.apache.commons.lang3,47,0,0,7,0,54,87.03703703703705,0,185,0,26,0,36,0,25,0,12,100.0,100.0,25
90,Range,org.apache.commons.lang3,80,0,0,9,0,89,89.88764044943821,28,439,6,70,2,88,7,60,1,28,97.77777777777777,92.10526315789474,67
91,RecursiveToStringStyle,org.apache.commons.lang3.builder,8,0,0,0,0,8,100.0,0,47,1,5,0,14,1,6,0,4,100.0,83.33333333333334,7
92,ReflectionDiffBuilder,org.apache.commons.lang3.builder,9,0,1,1,0,11,81.81818181818183,13,97,0,12,1,20,0,10,0,4,95.23809523809523,100.0,10
93,ReflectionToStringBuilder,org.apache.commons.lang3.builder,54,0,4,6,0,64,84.375,36,407,2,48,5,93,5,51,3,28,94.89795918367348,96.0,56
94,RegExUtils,org.apache.commons.lang3,30,0,0,0,0,30,100.0,3,95,0,30,1,20,1,25,1,10,95.23809523809523,100.0,26
95,SerializationUtils,org.apache.commons.lang3,18,0,0,1,0,19,94.73684210526315,49,247,14,20,5,51,11,16,0,10,91.07142857142857,58.82352941176471,27
96,StandardToStringStyle,org.apache.commons.lang3.builder,1,0,29,10,0,40,2.5,97,46,0,0,39,23,29,12,29,12,37.096774193548384,,41
97,StopWatch,org.apache.commons.lang3.time,43,0,0,6,0,49,87.75510204081633,47,361,1,29,3,87,5,54,4,40,96.66666666666667,96.66666666666667,59
98,StrBuilder,org.apache.commons.lang3.text,671,0,14,213,10,908,75.0,85,3707,25,535,20,802,27,422,2,167,97.5669099756691,95.53571428571429,449
99,StrLookup,org.apache.commons.lang3.text,11,0,0,0,0,11,100.0,1,57,0,6,1,20,0,12,0,9,95.23809523809523,100.0,12
100,StrMatcher,org.apache.commons.lang3.text,45,0,1,1,0,47,95.74468085106385,14,230,0,24,1,60,1,38,1,26,98.36065573770492,100.0,39
101,StrSubstitutor,org.apache.commons.lang3.text,134,0,7,15,3,159,86.16352201257862,15,1004,7,99,7,272,7,102,0,56,97.4910394265233,93.39622641509435,109
102,StrTokenizer,org.apache.commons.lang3.text,122,0,0,8,23,153,94.77124183006536,51,905,2,88,19,231,8,102,6,59,92.4,97.77777777777777,110
103,StringEscapeUtils,org.apache.commons.lang3,34,0,0,0,0,34,100.0,0,1253,1,11,0,172,1,29,0,24,100.0,91.66666666666666,30
104,StringUtils,org.apache.commons.lang3,1627,0,3,142,13,1785,91.87675070028013,8,6951,26,1491,3,1705,26,967,0,234,99.82435597189696,98.2860909690178,993
105,SystemUtils,org.apache.commons.lang3,29,0,1,1,0,31,93.54838709677419,25,456,20,28,5,130,15,27,0,18,96.29629629629629,58.333333333333336,42
106,ThreadUtils,org.apache.commons.lang3,61,0,0,8,5,74,89.18918918918921,0,387,8,54,0,76,8,47,0,24,100.0,87.09677419354838,55
107,ThresholdCircuitBreaker,org.apache.commons.lang3.concurrent,9,0,0,1,0,10,90.0,0,48,0,4,0,15,0,7,0,5,100.0,100.0,7
108,TimedSemaphore,org.apache.commons.lang3.concurrent,29,0,0,1,10,40,97.5,0,217,0,22,0,65,0,32,0,21,100.0,100.0,32
109,ToStringBuilder,org.apache.commons.lang3.builder,117,0,0,0,0,117,100.0,0,591,0,12,0,132,0,70,0,64,100.0,100.0,70
110,ToStringStyle,org.apache.commons.lang3.builder,296,0,48,45,0,389,76.09254498714651,298,1913,56,226,93,577,62,222,22,121,86.11940298507463,80.1418439716312,284
111,Triple,org.apache.commons.lang3.tuple,13,0,0,5,0,18,72.2222222222222,4,129,2,14,0,18,2,13,0,7,100.0,87.5,15
112,TypeLiteral,org.apache.commons.lang3.reflect,4,0,5,0,0,9,44.444444444444436,13,68,2,2,4,12,4,4,2,4,75.0,50.0,8
113,TypeUtils,org.apache.commons.lang3.reflect,276,0,106,21,0,403,68.4863523573201,814,1822,175,269,161,404,140,165,12,71,71.50442477876106,60.58558558558559,305
114,UnicodeEscaper,org.apache.commons.lang3.text.translate,29,0,1,2,0,32,90.625,15,105,0,12,3,23,2,12,2,6,88.46153846153845,100.0,14
115,UnicodeUnescaper,org.apache.commons.lang3.text.translate,25,0,0,4,0,29,86.20689655172413,0,117,2,14,0,17,2,8,0,2,100.0,87.5,10
116,UnicodeUnpairedSurrogateRemover,org.apache.commons.lang3.text.translate,6,0,0,0,0,6,100.0,0,13,0,4,0,4,0,4,0,2,100.0,100.0,4
117,Validate,org.apache.commons.lang3,101,0,2,15,0,118,85.59322033898306,22,795,17,107,6,144,17,96,2,49,96.0,86.29032258064517,113
118,WordUtils,org.apache.commons.lang3.text,92,0,0,8,2,102,92.15686274509804,0,543,1,95,0,138,1,62,0,15,100.0,98.95833333333334,63
