,CLASS,PACKAGE,KILLED,NO_COVERAGE,SURVIVED,TIMED_OUT,Total_Mutant,Mutation_Score,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,Statement_Percentage,Branch_Percentage,CC
124,Parameters,org.apache.commons.configuration2.builder.fluent,23,0,0,0,23,100.0,0,218,0,8,0,35,0,23,0,19,100.0,100.0,23
125,ParseException,org.apache.commons.configuration2.plist,5,9,12,0,26,19.230769230769234,182,189,22,10,34,32,20,5,2,3,48.484848484848484,31.25,25
126,PatternSubtreeConfigurationWrapper,org.apache.commons.configuration2,6,61,7,0,74,8.108108108108109,429,82,11,5,73,17,65,6,57,6,18.88888888888889,31.25,71
127,PeriodicReloadingTrigger,org.apache.commons.configuration2.reloading,13,0,0,0,13,100.0,0,121,0,12,0,37,0,18,0,12,100.0,100.0,18
128,PrefixedKeysIterator,org.apache.commons.configuration2,13,0,0,0,13,100.0,9,75,3,13,2,19,3,10,0,5,90.47619047619048,81.25,13
129,PropertiesBuilderParametersImpl,org.apache.commons.configuration2.builder,8,0,0,0,8,100.0,0,39,0,0,0,10,0,5,0,5,100.0,,5
130,PropertiesConfiguration,org.apache.commons.configuration2,150,2,7,3,162,94.44444444444444,73,1179,13,111,12,314,14,126,1,77,96.31901840490798,89.51612903225806,140
131,PropertiesConfigurationLayout,org.apache.commons.configuration2,122,0,6,4,132,95.45454545454544,26,742,5,89,7,199,5,90,0,48,96.60194174757282,94.68085106382979,95
132,PropertyConverter,org.apache.commons.configuration2.convert,166,14,0,0,180,92.22222222222223,191,1115,28,148,28,211,30,86,2,26,88.28451882845188,84.0909090909091,116
133,PropertyListConfiguration,org.apache.commons.configuration2.plist,82,10,25,0,117,70.08547008547008,114,830,21,71,24,167,19,55,1,27,87.43455497382199,77.17391304347827,74
