,CLASS,PACKAGE,KILLED,MEMORY_ERROR,NO_COVERAGE,SURVIVED,TIMED_OUT,Total_Mutant,Mutation_Score,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,Statement_Percentage,Branch_Percentage,CC
587,Sinc,org.apache.commons.math3.analysis.function,75,0,1,21,0,97,77.31958762886599,6,353,2,24,1,50,3,15,1,4,98.0392156862745,92.3076923076923,18
588,SingularValueDecomposition,org.apache.commons.math3.linear,367,0,2,66,11,446,84.75336322869956,26,2071,13,177,4,290,14,102,1,19,98.63945578231292,93.15789473684211,116
589,Sinh,org.apache.commons.math3.analysis.function,0,0,2,1,0,3,0.0,7,6,0,0,2,2,2,2,2,2,50.0,,4
590,Skewness,org.apache.commons.math3.stat.descriptive.moment,48,0,1,10,0,59,81.35593220338984,9,237,2,14,3,52,3,15,1,9,94.54545454545455,87.5,18
591,SmallPrimes,org.apache.commons.math3.primes,28,0,2,13,2,45,66.66666666666666,15,2255,4,30,6,53,5,18,1,5,89.83050847457628,88.23529411764706,23
592,SmoothedDataHistogram,org.apache.commons.math3.ml.neuralnet.twod.util,0,0,16,0,0,16,0.0,119,0,8,0,25,0,6,0,2,0,0.0,0.0,6
593,SmoothingPolynomialBicubicSplineInterpolator,org.apache.commons.math3.analysis.interpolation,43,0,0,4,0,47,91.48936170212765,20,266,5,27,5,45,6,14,1,3,90.0,84.375,20
594,SobolSequenceGenerator,org.apache.commons.math3.random,72,0,1,16,0,89,80.89887640449437,54,443,6,36,15,86,6,23,0,8,85.14851485148515,85.71428571428571,29
595,SolutionCallback,org.apache.commons.math3.optim.linear,4,0,0,0,0,4,100.0,0,25,0,4,0,5,0,6,0,4,100.0,100.0,6
596,SparseFieldMatrix,org.apache.commons.math3.linear,8,0,13,5,0,26,30.76923076923077,142,114,8,2,29,24,8,10,4,9,45.28301886792453,20.0,18
597,SparseFieldVector,org.apache.commons.math3.linear,119,0,66,42,0,227,52.42290748898678,317,911,36,76,72,207,38,71,12,41,74.19354838709677,67.85714285714286,109
598,SparseGradient,org.apache.commons.math3.analysis.differentiation,223,0,5,22,0,250,89.2,23,1808,6,106,4,251,6,129,0,79,98.4313725490196,94.64285714285714,135
599,SpearmansCorrelation,org.apache.commons.math3.stat.correlation,34,0,2,1,0,37,91.8918918918919,13,289,5,27,3,59,6,22,1,11,95.16129032258065,84.375,28
600,Sphere1D,org.apache.commons.math3.geometry.spherical.oned,3,0,0,0,0,3,100.0,3,30,0,0,1,9,1,7,1,7,90.0,,8
601,Sphere2D,org.apache.commons.math3.geometry.spherical.twod,3,0,1,0,0,4,75.0,5,15,0,0,2,6,2,5,2,5,75.0,,7
602,SphereGenerator,org.apache.commons.math3.geometry.euclidean.threed,15,0,0,3,0,18,83.33333333333334,0,660,0,8,0,62,0,7,0,3,100.0,100.0,7
603,SphericalCoordinates,org.apache.commons.math3.geometry.euclidean.threed,204,0,0,0,0,204,100.0,0,1509,2,2,0,123,2,13,0,13,100.0,50.0,15
604,SphericalPolygonsSet,org.apache.commons.math3.geometry.spherical.twod,72,0,5,13,4,94,80.85106382978722,23,733,13,69,7,146,11,45,0,15,95.42483660130719,84.14634146341463,56
605,SplineInterpolator,org.apache.commons.math3.analysis.interpolation,67,0,0,1,0,68,98.52941176470587,0,330,0,12,0,38,0,8,0,2,100.0,100.0,8
606,Sqrt,org.apache.commons.math3.analysis.function,2,0,1,0,0,3,66.66666666666666,4,9,0,0,1,3,1,3,1,3,75.0,,4
607,StableRandomGenerator,org.apache.commons.math3.random,21,0,23,19,0,63,33.33333333333333,80,170,5,19,9,31,4,10,0,2,77.5,79.16666666666666,14
608,StandardDeviation,org.apache.commons.math3.stat.descriptive.moment,9,0,4,3,0,16,56.25,41,96,0,0,9,28,5,12,5,12,75.67567567567568,,17
609,StatUtils,org.apache.commons.math3.stat,65,0,8,7,0,80,81.25,55,411,7,23,12,80,8,42,4,31,86.95652173913044,76.66666666666667,50
610,StatisticalSummaryValues,org.apache.commons.math3.stat.descriptive,20,0,0,12,0,32,62.5,0,225,5,11,0,45,5,14,0,11,100.0,68.75,19
611,StepFunction,org.apache.commons.math3.analysis.function,12,0,0,1,0,13,92.30769230769229,0,78,0,14,0,19,0,9,0,2,100.0,100.0,9
612,StepNormalizer,org.apache.commons.math3.ode.sampling,23,0,1,7,8,39,79.48717948717949,19,268,1,33,5,59,3,23,2,7,92.1875,97.05882352941177,26
613,StepNormalizerBounds,org.apache.commons.math3.ode.sampling,2,0,0,0,0,2,100.0,9,69,0,0,0,11,2,4,2,4,100.0,,6
614,StorelessBivariateCovariance,org.apache.commons.math3.stat.correlation,32,0,3,1,0,36,88.8888888888889,20,155,2,2,4,26,3,5,1,5,86.66666666666667,50.0,8
615,StorelessCovariance,org.apache.commons.math3.stat.correlation,36,0,9,3,0,48,75.0,56,162,7,15,9,27,7,16,3,9,75.0,68.18181818181817,23
616,SubCircle,org.apache.commons.math3.geometry.spherical.twod,8,0,0,2,0,10,80.0,0,82,0,8,0,14,0,7,0,3,100.0,100.0,7
617,SubHyperplane,org.apache.commons.math3.geometry.partitioning,12,0,0,0,0,12,100.0,0,44,1,11,0,13,1,9,0,4,100.0,91.66666666666666,10
618,SubLimitAngle,org.apache.commons.math3.geometry.spherical.oned,4,0,0,2,0,6,66.66666666666666,0,38,0,2,0,7,0,6,0,5,100.0,100.0,6
619,SubLine,org.apache.commons.math3.geometry.euclidean.threed,11,0,0,0,0,11,100.0,12,477,0,42,4,82,2,35,2,14,95.34883720930233,100.0,37
620,SubLine,org.apache.commons.math3.geometry.euclidean.twod,25,0,0,3,0,28,89.2857142857143,12,477,0,42,4,82,2,35,2,14,95.34883720930233,100.0,37
621,SubOrientedPoint,org.apache.commons.math3.geometry.euclidean.oned,7,0,1,2,0,10,70.0,2,46,0,4,1,10,1,6,1,4,90.9090909090909,100.0,7
622,SubPlane,org.apache.commons.math3.geometry.euclidean.threed,12,0,0,3,0,15,80.0,0,182,1,11,0,32,1,8,0,3,100.0,91.66666666666666,9
623,Subtract,org.apache.commons.math3.analysis.function,0,0,2,0,0,2,0.0,7,0,0,0,2,0,2,0,2,0,0.0,,2
624,Sum,org.apache.commons.math3.stat.descriptive.summary,21,0,2,3,0,26,80.76923076923076,14,122,2,6,4,33,4,11,2,9,89.1891891891892,75.0,15
625,SumOfClusterVariances,org.apache.commons.math3.ml.clustering.evaluation,5,0,0,0,0,5,100.0,0,54,1,5,0,13,1,4,0,2,100.0,83.33333333333334,5
626,SumOfLogs,org.apache.commons.math3.stat.descriptive.summary,13,0,1,3,0,17,76.47058823529412,6,92,1,3,3,27,2,9,1,8,90.0,75.0,11
627,SumOfSquares,org.apache.commons.math3.stat.descriptive.summary,15,0,1,3,0,19,78.94736842105263,6,95,1,3,3,27,2,9,1,8,90.0,75.0,11
628,SummaryStatistics,org.apache.commons.math3.stat.descriptive,66,0,18,38,0,122,54.098360655737714,96,874,19,41,28,169,28,42,9,31,85.78680203045685,68.33333333333333,70
629,SymmLQ,org.apache.commons.math3.linear,158,0,10,47,0,215,73.48837209302326,90,1158,11,59,20,219,16,45,5,21,91.63179916317992,84.28571428571429,61
630,SymmetricGaussIntegrator,org.apache.commons.math3.analysis.integration.gauss,18,0,0,2,0,20,90.0,0,104,0,6,0,25,0,6,0,3,100.0,100.0,6
631,SynchronizedDescriptiveStatistics,org.apache.commons.math3.stat.descriptive,13,0,2,2,0,17,76.47058823529412,19,73,0,0,4,28,2,14,2,14,87.5,,16
632,SynchronizedMultivariateSummaryStatistics,org.apache.commons.math3.stat.descriptive,30,0,0,0,0,30,100.0,0,104,0,0,0,41,0,31,0,31,100.0,,31
633,SynchronizedRandomGenerator,org.apache.commons.math3.random,8,0,3,0,0,11,72.72727272727273,15,40,0,0,6,12,3,9,3,9,66.66666666666666,,12
634,SynchronizedSummaryStatistics,org.apache.commons.math3.stat.descriptive,22,0,16,1,0,39,56.4102564102564,82,77,0,0,29,30,13,24,13,24,50.847457627118644,,37
635,TDistribution,org.apache.commons.math3.distribution,45,0,0,5,1,51,90.19607843137257,0,185,1,13,0,47,1,22,0,16,100.0,92.85714285714286,23
636,TTest,org.apache.commons.math3.stat.inference,106,0,3,24,0,133,79.69924812030075,23,584,1,23,5,98,2,41,1,30,95.14563106796116,95.83333333333334,43
637,Tan,org.apache.commons.math3.analysis.function,0,0,2,1,0,3,0.0,7,6,0,0,2,2,2,2,2,2,50.0,,4
638,Tanh,org.apache.commons.math3.analysis.function,0,0,2,1,0,3,0.0,7,6,0,0,2,2,2,2,2,2,50.0,,4
639,Target,org.apache.commons.math3.optim.nonlinear.vector,1,0,0,0,0,1,100.0,0,26,0,0,0,8,0,4,0,4,100.0,,4
640,Target,org.apache.commons.math3.optimization,1,0,0,0,0,1,100.0,0,26,0,0,0,8,0,4,0,4,100.0,,4
641,TestUtils,org.apache.commons.math3.stat.inference,39,0,11,0,0,50,78.0,65,226,0,0,13,44,12,40,12,40,77.19298245614034,,52
642,ThirdMoment,org.apache.commons.math3.stat.descriptive.moment,19,0,0,2,0,21,90.4761904761905,0,109,0,2,0,29,0,8,0,7,100.0,100.0,8
643,ThreeEighthesFieldIntegrator,org.apache.commons.math3.ode.nonstiff,7,0,0,0,0,7,100.0,0,172,0,2,0,24,0,6,0,5,100.0,100.0,6
644,ThreeEighthesFieldStepInterpolator,org.apache.commons.math3.ode.nonstiff,5,0,0,0,0,5,100.0,0,277,1,3,0,27,1,4,0,3,100.0,75.0,5
645,ThreeEighthesStepInterpolator,org.apache.commons.math3.ode.nonstiff,85,0,0,0,0,85,100.0,0,308,1,7,0,38,1,7,0,4,100.0,87.5,8
646,TooManyEvaluationsException,org.apache.commons.math3.exception,0,0,0,1,0,1,0.0,0,10,0,0,0,3,0,1,0,1,100.0,,1
647,TooManyIterationsException,org.apache.commons.math3.exception,0,0,0,1,0,1,0.0,0,10,0,0,0,3,0,1,0,1,100.0,,1
648,TopographicErrorHistogram,org.apache.commons.math3.ml.neuralnet.twod.util,0,0,12,0,0,12,0.0,120,0,10,0,25,0,7,0,2,0,0.0,0.0,7
649,TournamentSelection,org.apache.commons.math3.genetics,7,0,2,1,0,10,70.0,28,69,1,3,6,14,4,5,3,4,70.0,75.0,9
650,TransformUtils,org.apache.commons.math3.transform,17,0,3,1,0,21,80.95238095238095,38,254,4,10,9,24,5,9,2,5,72.72727272727273,71.42857142857143,14
651,Transformer,org.apache.commons.math3.ode.events,8,0,0,1,0,9,88.8888888888889,5,115,0,0,0,16,1,13,1,13,100.0,,14
652,TransformerMap,org.apache.commons.math3.util,16,0,8,2,0,26,61.53846153846154,36,134,8,12,10,31,8,14,1,11,75.60975609756098,60.0,22
653,TrapezoidIntegrator,org.apache.commons.math3.analysis.integration,31,0,2,5,0,38,81.57894736842105,20,159,4,10,6,37,4,8,1,4,86.04651162790698,71.42857142857143,12
654,TriDiagonalTransformer,org.apache.commons.math3.linear,120,0,1,3,0,124,96.77419354838709,3,568,0,46,1,88,1,30,1,7,98.87640449438202,100.0,31
655,TriangularDistribution,org.apache.commons.math3.distribution,106,0,3,11,0,120,88.33333333333331,8,402,4,36,3,58,7,27,3,11,95.08196721311475,90.0,34
656,TricubicInterpolatingFunction,org.apache.commons.math3.analysis.interpolation,187,0,22,1,0,210,89.04761904761904,126,18146,22,70,9,104,17,35,1,5,92.03539823008849,76.08695652173914,52
657,TricubicInterpolator,org.apache.commons.math3.analysis.interpolation,56,0,17,6,0,79,70.88607594936707,62,528,16,16,4,52,11,9,1,3,92.85714285714286,50.0,20
658,TricubicSplineInterpolatingFunction,org.apache.commons.math3.analysis.interpolation,117,0,5,8,0,130,90.0,68,17988,10,70,6,97,10,35,0,5,94.1747572815534,87.5,45
659,TricubicSplineInterpolator,org.apache.commons.math3.analysis.interpolation,52,0,0,35,0,87,59.77011494252874,4,577,4,50,1,78,4,27,0,4,98.73417721518987,92.5925925925926,31
660,Ulp,org.apache.commons.math3.analysis.function,0,0,0,1,0,1,0.0,0,6,0,0,0,2,0,2,0,2,100.0,,2
661,UncorrelatedRandomVectorGenerator,org.apache.commons.math3.random,7,0,0,0,0,7,100.0,8,70,1,3,1,16,1,4,0,3,94.11764705882352,75.0,5
662,UnifiedDistanceMatrix,org.apache.commons.math3.ml.neuralnet.twod.util,0,0,54,0,0,54,0.0,318,0,28,0,61,0,18,0,4,0,0.0,0.0,18
663,UniformCrossover,org.apache.commons.math3.genetics,14,0,1,0,0,15,93.33333333333331,3,125,0,14,1,24,1,10,1,3,96.0,100.0,11
664,UniformIntegerDistribution,org.apache.commons.math3.distribution,39,0,1,3,3,46,91.30434782608695,2,146,0,16,1,29,1,17,1,9,96.66666666666667,100.0,18
665,UniformRandomGenerator,org.apache.commons.math3.random,4,0,0,0,0,4,100.0,0,20,0,0,0,5,0,3,0,3,100.0,,3
666,UniformRealDistribution,org.apache.commons.math3.distribution,41,0,1,3,0,45,91.11111111111113,15,158,0,14,5,31,3,20,3,13,86.11111111111111,100.0,23
667,UnitSphereRandomVectorGenerator,org.apache.commons.math3.random,11,0,0,0,0,11,100.0,0,66,0,4,0,16,0,5,0,3,100.0,100.0,5
668,UnivariateMultiStartOptimizer,org.apache.commons.math3.optimization.univariate,26,0,3,4,0,33,78.78787878787878,30,167,7,15,6,36,9,12,2,8,85.71428571428571,68.18181818181817,21
669,UnivariateObjectiveFunction,org.apache.commons.math3.optim.univariate,1,0,0,0,0,1,100.0,0,9,0,0,0,4,0,2,0,2,100.0,,2
670,UnivariateOptimizer,org.apache.commons.math3.optim.univariate,11,0,0,0,0,11,100.0,0,84,0,8,0,24,0,12,0,8,100.0,100.0,12
671,UnivariatePeriodicInterpolator,org.apache.commons.math3.analysis.interpolation,18,0,0,3,0,21,85.71428571428571,0,188,0,6,0,30,0,8,0,5,100.0,100.0,8
672,UnivariatePointValuePair,org.apache.commons.math3.optim.univariate,2,0,0,0,0,2,100.0,0,30,0,0,0,12,0,6,0,6,100.0,,6
673,UnivariatePointValuePair,org.apache.commons.math3.optimization.univariate,2,0,0,0,0,2,100.0,0,30,0,0,0,12,0,6,0,6,100.0,,6
674,UnivariateSolverUtils,org.apache.commons.math3.analysis.solvers,53,0,16,26,0,95,55.78947368421052,129,358,19,49,29,72,15,32,2,11,71.28712871287128,72.05882352941177,47
675,UnknownParameterException,org.apache.commons.math3.ode,1,0,0,0,0,1,100.0,0,16,0,0,0,4,0,2,0,2,100.0,,2
676,ValueServer,org.apache.commons.math3.random,31,0,1,6,0,38,81.57894736842105,33,352,2,23,7,78,3,38,1,25,91.76470588235294,92.0,41
677,Variance,org.apache.commons.math3.stat.descriptive.moment,67,0,7,18,0,92,72.82608695652173,53,435,14,32,10,101,17,27,3,18,90.990990990991,69.56521739130434,44
678,Vector1D,org.apache.commons.math3.geometry.euclidean.oned,69,0,3,4,0,76,90.7894736842105,11,339,1,15,3,71,2,41,1,34,95.94594594594594,93.75,43
679,Vector1DFormat,org.apache.commons.math3.geometry.euclidean.oned,8,0,0,0,0,8,100.0,15,77,1,3,4,19,2,9,1,8,82.6086956521739,75.0,11
680,Vector2D,org.apache.commons.math3.geometry.euclidean.twod,41,0,92,16,0,149,27.51677852348993,384,282,18,16,52,54,34,23,22,18,50.943396226415096,47.05882352941176,57
681,Vector2DFormat,org.apache.commons.math3.geometry.euclidean.twod,7,0,1,0,0,8,87.5,18,82,1,3,5,18,3,8,2,7,78.26086956521739,75.0,11
682,Vector3D,org.apache.commons.math3.geometry.euclidean.threed,157,0,0,15,0,172,91.27906976744184,0,984,0,46,0,142,0,71,0,48,100.0,100.0,71
683,Vector3DFormat,org.apache.commons.math3.geometry.euclidean.threed,8,0,0,0,0,8,100.0,15,93,1,3,4,19,2,9,1,8,82.6086956521739,75.0,11
684,VectorFormat,org.apache.commons.math3.geometry,24,0,6,2,0,32,75.0,37,150,1,15,13,37,8,12,7,5,74.0,93.75,20
685,VectorialCovariance,org.apache.commons.math3.stat.descriptive.moment,39,0,18,6,0,63,61.904761904761905,60,214,9,19,13,39,9,12,1,6,75.0,67.85714285714286,21
686,VectorialMean,org.apache.commons.math3.stat.descriptive.moment,15,0,6,1,0,22,68.18181818181817,22,103,4,12,7,20,5,9,1,5,74.07407407407408,75.0,14
687,Vertex,org.apache.commons.math3.geometry.spherical.twod,6,0,1,2,0,9,66.66666666666666,2,77,1,5,1,23,1,10,0,8,95.83333333333334,83.33333333333334,11
688,WeibullDistribution,org.apache.commons.math3.distribution,57,0,4,5,0,66,86.36363636363636,19,273,4,18,7,61,7,24,3,17,89.70588235294117,81.81818181818183,31
