,CLASS,PACKAGE,KILLED,MEMORY_ERROR,NO_COVERAGE,SURVIVED,TIMED_OUT,Total_Mutant,Mutation_Score,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,Statement_Percentage,Branch_Percentage,CC
104,FilterListIterator,org.apache.commons.collections4.iterators,38,0,4,1,0,43,88.3720930232558,68,191,6,30,18,58,15,24,9,12,76.31578947368422,83.33333333333334,39
105,FixedOrderComparator,org.apache.commons.collections4.comparators,34,0,1,18,0,53,64.15094339622641,66,377,22,44,6,60,20,28,0,14,90.9090909090909,66.66666666666666,48
106,FixedSizeList,org.apache.commons.collections4.list,9,0,3,0,0,12,75.0,26,77,0,0,9,20,8,17,8,17,68.96551724137932,,25
107,FixedSizeMap,org.apache.commons.collections4.map,7,0,4,2,0,13,53.846153846153854,30,71,4,2,8,20,5,11,3,10,71.42857142857143,33.33333333333333,16
108,FixedSizeSortedMap,org.apache.commons.collections4.map,0,0,17,0,0,17,0.0,21,94,2,2,6,21,4,15,3,14,77.77777777777779,50.0,19
109,Flat3Map,org.apache.commons.collections4.map,0,0,312,0,0,312,0.0,409,1671,106,272,78,451,98,179,6,60,85.25519848771268,71.95767195767195,277
110,FluentIterable,org.apache.commons.collections4,35,0,0,0,0,35,100.0,0,190,0,4,0,45,0,36,0,34,100.0,100.0,36
111,ForClosure,org.apache.commons.collections4.functors,11,0,2,0,0,13,84.61538461538461,6,39,0,8,2,12,2,7,2,3,85.71428571428571,100.0,9
112,FunctorUtils,org.apache.commons.collections4.functors,23,0,5,0,0,28,82.14285714285714,10,174,3,27,5,36,5,20,2,8,87.8048780487805,90.0,25
113,GrowthList,org.apache.commons.collections4.list,8,0,0,8,0,16,50.0,10,90,4,6,2,20,4,8,1,6,90.9090909090909,60.0,12
114,HashBag,org.apache.commons.collections4.bag,2,0,0,2,0,4,50.0,0,28,0,0,0,11,0,4,0,4,100.0,,4
115,HashMultiSet,org.apache.commons.collections4.multiset,0,0,5,0,0,5,0.0,0,30,0,0,0,12,0,4,0,4,100.0,,4
116,HashSetValuedHashMap,org.apache.commons.collections4.multimap,0,0,6,0,0,6,0.0,25,38,0,0,8,13,3,5,3,5,61.904761904761905,,8
117,HashedMap,org.apache.commons.collections4.map,2,0,1,2,0,5,40.0,0,35,0,0,0,15,0,7,0,7,100.0,,7
118,IdentityPredicate,org.apache.commons.collections4.functors,5,0,1,0,0,6,83.33333333333334,3,23,0,4,1,7,1,5,1,3,87.5,100.0,6
119,IfClosure,org.apache.commons.collections4.functors,8,0,3,0,0,11,72.72727272727273,25,45,3,5,7,13,7,5,4,4,65.0,62.5,12
120,IfTransformer,org.apache.commons.collections4.functors,10,0,3,0,0,13,76.92307692307693,14,66,2,10,4,17,5,8,3,4,80.95238095238095,83.33333333333334,13
121,IndexedCollection,org.apache.commons.collections4.collection,24,0,1,4,0,29,82.75862068965517,6,207,1,21,1,55,2,25,1,15,98.21428571428571,95.45454545454545,27
