GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
"commons-lang3-code-coverage (Apr 4, 2019 12:20:20 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.text.translate,NumericEntityUnescaper.OPTION,0,34,0,0,0,1,0,1,0,1
"commons-lang3-code-coverage (Apr 4, 2019 12:20:20 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.text.translate,NumericEntityUnescaper,2,203,5,43,0,42,5,22,0,3
"commons-lang3-code-coverage (Apr 4, 2019 12:20:20 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.text.translate,UnicodeUnpairedSurrogateRemover,0,13,0,4,0,4,0,4,0,2
"commons-lang3-code-coverage (Apr 4, 2019 12:20:20 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.text.translate,AggregateTranslator,0,37,0,4,0,8,0,4,0,2
"commons-lang3-code-coverage (Apr 4, 2019 12:20:20 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.text.translate,CharSequenceTranslator,6,185,2,16,2,33,2,13,0,6
"commons-lang3-code-coverage (Apr 4, 2019 12:20:20 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.text.translate,UnicodeEscaper,15,105,0,12,3,23,2,12,2,6
"commons-lang3-code-coverage (Apr 4, 2019 12:20:20 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.text.translate,EntityArrays,0,3450,0,2,0,283,0,14,0,13
"commons-lang3-code-coverage (Apr 4, 2019 12:20:20 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.text.translate,JavaUnicodeEscaper,15,34,0,0,3,5,3,3,3,3
"commons-lang3-code-coverage (Apr 4, 2019 12:20:20 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.text.translate,UnicodeUnescaper,0,117,2,14,0,17,2,8,0,2
"commons-lang3-code-coverage (Apr 4, 2019 12:20:20 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.text.translate,OctalUnescaper,2,114,4,20,0,17,4,12,0,4
