GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
"commons-lang3-code-coverage (Apr 4, 2019 12:18:11 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.text.translate,UnicodeUnpairedSurrogateRemover,0,13,0,4,0,4,0,4,0,2
"commons-lang3-code-coverage (Apr 4, 2019 12:18:11 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.text.translate,CodePointTranslator,0,18,0,2,0,4,0,3,0,2
"commons-lang3-code-coverage (Apr 4, 2019 12:18:11 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.text.translate,NumericEntityUnescaper,2,203,5,43,0,42,5,22,0,3
"commons-lang3-code-coverage (Apr 4, 2019 12:18:11 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.text.translate,UnicodeEscaper,15,105,0,12,3,23,2,12,2,6
"commons-lang3-code-coverage (Apr 4, 2019 12:18:11 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.text.translate,JavaUnicodeEscaper,15,34,0,0,3,5,3,3,3,3
"commons-lang3-code-coverage (Apr 4, 2019 12:18:11 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.text.translate,CharSequenceTranslator,6,185,2,16,2,33,2,13,0,6
"commons-lang3-code-coverage (Apr 4, 2019 12:18:11 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.text.translate,OctalUnescaper,2,114,4,20,0,17,4,12,0,4
"commons-lang3-code-coverage (Apr 4, 2019 12:18:11 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.text.translate,AggregateTranslator,0,37,0,4,0,8,0,4,0,2
"commons-lang3-code-coverage (Apr 4, 2019 12:18:11 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.text.translate,UnicodeUnescaper,0,117,2,14,0,17,2,8,0,2
"commons-lang3-code-coverage (Apr 4, 2019 12:18:11 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.text.translate,LookupTranslator,0,132,1,15,0,28,1,9,0,2
"commons-lang3-code-coverage (Apr 4, 2019 12:18:11 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.text.translate,NumericEntityUnescaper.OPTION,0,34,0,0,0,1,0,1,0,1
"commons-lang3-code-coverage (Apr 4, 2019 12:18:11 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.text.translate,NumericEntityEscaper,0,76,0,10,0,20,0,12,0,7
"commons-lang3-code-coverage (Apr 4, 2019 12:18:11 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.text.translate,EntityArrays,0,3463,0,2,0,284,0,14,0,13
"commons-lang3-code-coverage (Apr 4, 2019 12:18:11 AM)/commons-lang3/src/main/java",org.apache.commons.lang3,StringUtils,22,6550,26,1425,6,1612,27,919,1,219
"commons-lang3-code-coverage (Apr 4, 2019 12:18:11 AM)/commons-lang3/src/main/java",org.apache.commons.lang3,ThreadUtils,0,298,5,41,0,68,5,34,0,16
"commons-lang3-code-coverage (Apr 4, 2019 12:18:11 AM)/commons-lang3/src/main/java",org.apache.commons.lang3,LocaleUtils.SyncAvoid,3,16,0,0,1,4,1,1,1,1
"commons-lang3-code-coverage (Apr 4, 2019 12:18:11 AM)/commons-lang3/src/main/java",org.apache.commons.lang3,Validate,22,807,17,107,6,144,17,96,2,49
"commons-lang3-code-coverage (Apr 4, 2019 12:18:11 AM)/commons-lang3/src/main/java",org.apache.commons.lang3,BitField,0,139,0,12,0,21,0,24,0,18
"commons-lang3-code-coverage (Apr 4, 2019 12:18:11 AM)/commons-lang3/src/main/java",org.apache.commons.lang3,StringEscapeUtils.CsvEscaper,5,64,1,3,1,12,1,4,0,3
"commons-lang3-code-coverage (Apr 4, 2019 12:18:11 AM)/commons-lang3/src/main/java",org.apache.commons.lang3,NotImplementedException,0,41,0,0,0,16,0,7,0,7
"commons-lang3-code-coverage (Apr 4, 2019 12:18:11 AM)/commons-lang3/src/main/java",org.apache.commons.lang3,AnnotationUtils.new ToStringStyle() {...},6,77,4,4,1,23,4,3,0,3
"commons-lang3-code-coverage (Apr 4, 2019 12:18:11 AM)/commons-lang3/src/main/java",org.apache.commons.lang3,SerializationUtils,23,135,1,13,5,44,1,13,0,7
