GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
commons-io2.6 (3-Apr-2019 4:59:30 PM)/commons-io/src/main/java,org.apache.commons.io.serialization,FullClassNameMatcher,0,16,0,0,0,4,0,2,0,2
commons-io2.6 (3-Apr-2019 4:59:30 PM)/commons-io/src/main/java,org.apache.commons.io.serialization,ValidatingObjectInputStream,6,223,0,18,2,36,0,21,0,12
commons-io2.6 (3-Apr-2019 4:59:30 PM)/commons-io/src/main/java,org.apache.commons.io.serialization,WildcardClassNameMatcher,0,11,0,0,0,4,0,2,0,2
commons-io2.6 (3-Apr-2019 4:59:30 PM)/commons-io/src/main/java,org.apache.commons.io.serialization,RegexpClassNameMatcher,0,24,0,2,0,8,0,4,0,3
commons-io2.6 (3-Apr-2019 4:59:30 PM)/commons-io/src/main/java,org.apache.commons.io.monitor,FileAlterationObserver,48,514,10,60,10,113,11,47,3,20
commons-io2.6 (3-Apr-2019 4:59:30 PM)/commons-io/src/main/java,org.apache.commons.io.monitor,FileAlterationListenerAdaptor,0,11,0,0,0,9,0,9,0,9
commons-io2.6 (3-Apr-2019 4:59:30 PM)/commons-io/src/main/java,org.apache.commons.io.monitor,FileEntry,50,123,9,15,16,29,18,14,10,10
commons-io2.6 (3-Apr-2019 4:59:30 PM)/commons-io/src/main/java,org.apache.commons.io.monitor,FileAlterationMonitor,5,179,1,25,2,51,1,24,0,12
commons-io2.6 (3-Apr-2019 4:59:30 PM)/commons-io/src/main/java,org.apache.commons.io.input,MessageDigestCalculatingInputStream.MessageDigestMaintainingObserver,6,13,0,0,2,5,1,2,1,2
commons-io2.6 (3-Apr-2019 4:59:30 PM)/commons-io/src/main/java,org.apache.commons.io.input,CountingInputStream,0,84,0,6,0,20,0,10,0,7
commons-io2.6 (3-Apr-2019 4:59:30 PM)/commons-io/src/main/java,org.apache.commons.io.input,ObservableInputStream,53,179,8,22,15,59,10,20,3,12
commons-io2.6 (3-Apr-2019 4:59:30 PM)/commons-io/src/main/java,org.apache.commons.io.input,NullInputStream,7,271,1,29,3,68,3,28,2,14
commons-io2.6 (3-Apr-2019 4:59:30 PM)/commons-io/src/main/java,org.apache.commons.io.input,UnixLineEndingInputStream,5,111,0,24,1,34,1,17,1,5
commons-io2.6 (3-Apr-2019 4:59:30 PM)/commons-io/src/main/java,org.apache.commons.io.input,TailerListenerAdapter,6,3,0,0,6,1,6,1,6,1
commons-io2.6 (3-Apr-2019 4:59:30 PM)/commons-io/src/main/java,org.apache.commons.io.input,InfiniteCircularInputStream,0,27,0,0,0,6,0,2,0,2
commons-io2.6 (3-Apr-2019 4:59:30 PM)/commons-io/src/main/java,org.apache.commons.io.input,MessageDigestCalculatingInputStream,6,22,0,0,2,7,1,3,1,3
commons-io2.6 (3-Apr-2019 4:59:30 PM)/commons-io/src/main/java,org.apache.commons.io.input,CharSequenceInputStream,74,290,12,34,10,75,12,25,1,13
commons-io2.6 (3-Apr-2019 4:59:30 PM)/commons-io/src/main/java,org.apache.commons.io.input,CloseShieldInputStream,0,10,0,0,0,4,0,2,0,2
commons-io2.6 (3-Apr-2019 4:59:30 PM)/commons-io/src/main/java,org.apache.commons.io.input,ClassLoaderObjectInputStream,10,41,0,2,4,8,0,4,0,3
commons-io2.6 (3-Apr-2019 4:59:30 PM)/commons-io/src/main/java,org.apache.commons.io.input,BrokenInputStream,7,21,0,0,2,8,1,6,1,6
commons-io2.6 (3-Apr-2019 4:59:30 PM)/commons-io/src/main/java,org.apache.commons.io.input,CharSequenceReader,41,129,6,16,6,33,7,13,1,8
commons-io2.6 (3-Apr-2019 4:59:30 PM)/commons-io/src/main/java,org.apache.commons.io.input,WindowsLineEndingInputStream,5,129,0,26,1,42,1,18,1,5
commons-io2.6 (3-Apr-2019 4:59:30 PM)/commons-io/src/main/java,org.apache.commons.io.input,AutoCloseInputStream,0,24,0,2,0,11,0,5,0,4
commons-io2.6 (3-Apr-2019 4:59:30 PM)/commons-io/src/main/java,org.apache.commons.io.input,BOMInputStream.new Comparator() {...},0,21,0,4,0,8,0,4,0,2
commons-io2.6 (3-Apr-2019 4:59:30 PM)/commons-io/src/main/java,org.apache.commons.io.input,ReversedLinesFileReader.FilePart,49,285,5,39,7,58,5,22,0,5
