GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
commons-io2.5 (3-Apr-2019 4:55:17 PM)/commons-io/src/main/java,org.apache.commons.io.serialization,ValidatingObjectInputStream,6,223,0,18,2,36,0,21,0,12
commons-io2.5 (3-Apr-2019 4:55:17 PM)/commons-io/src/main/java,org.apache.commons.io.serialization,FullClassNameMatcher,0,16,0,0,0,4,0,2,0,2
commons-io2.5 (3-Apr-2019 4:55:17 PM)/commons-io/src/main/java,org.apache.commons.io.serialization,WildcardClassNameMatcher,0,11,0,0,0,4,0,2,0,2
commons-io2.5 (3-Apr-2019 4:55:17 PM)/commons-io/src/main/java,org.apache.commons.io.serialization,RegexpClassNameMatcher,0,24,0,2,0,8,0,4,0,3
commons-io2.5 (3-Apr-2019 4:55:17 PM)/commons-io/src/main/java,org.apache.commons.io.monitor,FileAlterationObserver,48,514,10,60,10,113,11,47,3,20
commons-io2.5 (3-Apr-2019 4:55:17 PM)/commons-io/src/main/java,org.apache.commons.io.monitor,FileAlterationMonitor,4,180,0,26,1,52,0,25,0,12
commons-io2.5 (3-Apr-2019 4:55:17 PM)/commons-io/src/main/java,org.apache.commons.io.monitor,FileEntry,49,124,6,18,16,29,15,17,10,10
commons-io2.5 (3-Apr-2019 4:55:17 PM)/commons-io/src/main/java,org.apache.commons.io.monitor,FileAlterationListenerAdaptor,0,11,0,0,0,9,0,9,0,9
commons-io2.5 (3-Apr-2019 4:55:17 PM)/commons-io/src/main/java,org.apache.commons.io.input,DemuxInputStream,12,29,3,1,5,8,3,3,1,3
commons-io2.5 (3-Apr-2019 4:55:17 PM)/commons-io/src/main/java,org.apache.commons.io.input,AutoCloseInputStream,0,24,0,2,0,11,0,5,0,4
commons-io2.5 (3-Apr-2019 4:55:17 PM)/commons-io/src/main/java,org.apache.commons.io.input,CharSequenceInputStream,74,290,12,34,10,75,12,25,1,13
commons-io2.5 (3-Apr-2019 4:55:17 PM)/commons-io/src/main/java,org.apache.commons.io.input,TaggedInputStream,0,24,0,0,0,7,0,4,0,4
commons-io2.5 (3-Apr-2019 4:55:17 PM)/commons-io/src/main/java,org.apache.commons.io.input,ClosedInputStream,0,10,0,0,0,3,0,3,0,3
commons-io2.5 (3-Apr-2019 4:55:17 PM)/commons-io/src/main/java,org.apache.commons.io.input,CountingInputStream,0,84,0,6,0,20,0,10,0,7
commons-io2.5 (3-Apr-2019 4:55:17 PM)/commons-io/src/main/java,org.apache.commons.io.input,XmlStreamReader,106,1268,12,148,26,199,13,91,4,20
commons-io2.5 (3-Apr-2019 4:55:17 PM)/commons-io/src/main/java,org.apache.commons.io.input,NullInputStream,7,271,1,29,3,68,3,28,2,14
commons-io2.5 (3-Apr-2019 4:55:17 PM)/commons-io/src/main/java,org.apache.commons.io.input,BoundedReader,0,96,0,10,0,27,0,11,0,6
commons-io2.5 (3-Apr-2019 4:55:17 PM)/commons-io/src/main/java,org.apache.commons.io.input,WindowsLineEndingInputStream,5,129,0,26,1,42,1,18,1,5
commons-io2.5 (3-Apr-2019 4:55:17 PM)/commons-io/src/main/java,org.apache.commons.io.input,TeeInputStream,10,60,2,6,5,18,2,8,1,5
commons-io2.5 (3-Apr-2019 4:55:17 PM)/commons-io/src/main/java,org.apache.commons.io.input,Tailer,57,386,3,34,14,107,10,31,7,15
commons-io2.5 (3-Apr-2019 4:55:17 PM)/commons-io/src/main/java,org.apache.commons.io.input,ReaderInputStream,38,221,7,29,6,59,9,21,2,10
commons-io2.5 (3-Apr-2019 4:55:17 PM)/commons-io/src/main/java,org.apache.commons.io.input,UnixLineEndingInputStream,5,111,0,24,1,34,1,17,1,5
commons-io2.5 (3-Apr-2019 4:55:17 PM)/commons-io/src/main/java,org.apache.commons.io.input,ReversedLinesFileReader.FilePart,49,285,5,39,7,58,5,22,0,5
commons-io2.5 (3-Apr-2019 4:55:17 PM)/commons-io/src/main/java,org.apache.commons.io.input,ProxyReader,97,56,4,2,35,19,10,7,7,7
commons-io2.5 (3-Apr-2019 4:55:17 PM)/commons-io/src/main/java,org.apache.commons.io.input,CharSequenceReader,41,129,6,16,6,33,7,13,1,8
commons-io2.5 (3-Apr-2019 4:55:17 PM)/commons-io/src/main/java,org.apache.commons.io.input,BoundedInputStream,84,107,9,11,21,23,14,10,9,5
commons-io2.5 (3-Apr-2019 4:55:17 PM)/commons-io/src/main/java,org.apache.commons.io.input,XmlStreamReaderException,0,43,0,0,0,14,0,7,0,7
commons-io2.5 (3-Apr-2019 4:55:17 PM)/commons-io/src/main/java,org.apache.commons.io.input,BOMInputStream.new Comparator() {...},0,21,0,4,0,8,0,4,0,2
commons-io2.5 (3-Apr-2019 4:55:17 PM)/commons-io/src/main/java,org.apache.commons.io.input,BOMInputStream,0,354,0,56,0,74,0,46,0,18
commons-io2.5 (3-Apr-2019 4:55:17 PM)/commons-io/src/main/java,org.apache.commons.io.input,ReversedLinesFileReader,12,223,0,32,4,49,2,20,2,4
commons-io2.5 (3-Apr-2019 4:55:17 PM)/commons-io/src/main/java,org.apache.commons.io.input,ClassLoaderObjectInputStream,10,41,0,2,4,8,0,4,0,3
commons-io2.5 (3-Apr-2019 4:55:17 PM)/commons-io/src/main/java,org.apache.commons.io.input,TailerListenerAdapter,6,3,0,0,6,1,6,1,6,1
commons-io2.5 (3-Apr-2019 4:55:17 PM)/commons-io/src/main/java,org.apache.commons.io.input,NullReader,5,252,0,26,2,63,2,26,2,13
commons-io2.5 (3-Apr-2019 4:55:17 PM)/commons-io/src/main/java,org.apache.commons.io.input,SwappedDataInputStream,4,97,1,5,1,26,1,18,0,16
commons-io2.5 (3-Apr-2019 4:55:17 PM)/commons-io/src/main/java,org.apache.commons.io.input,ProxyInputStream,38,85,1,3,16,29,2,13,1,12
commons-io2.5 (3-Apr-2019 4:55:17 PM)/commons-io/src/main/java,org.apache.commons.io.input,BrokenInputStream,7,21,0,0,2,8,1,6,1,6
commons-io2.5 (3-Apr-2019 4:55:17 PM)/commons-io/src/main/java,org.apache.commons.io.input,CloseShieldInputStream,0,10,0,0,0,4,0,2,0,2
commons-io2.5 (3-Apr-2019 4:55:17 PM)/commons-io/src/main/java,org.apache.commons.io.output,FileWriterWithEncoding,39,180,2,10,12,56,4,22,3,17
commons-io2.5 (3-Apr-2019 4:55:17 PM)/commons-io/src/main/java,org.apache.commons.io.output,ThresholdingOutputStream,14,99,0,6,6,28,3,12,3,9
commons-io2.5 (3-Apr-2019 4:55:17 PM)/commons-io/src/main/java,org.apache.commons.io.output,ByteArrayOutputStream,19,496,10,36,4,119,10,31,0,18
commons-io2.5 (3-Apr-2019 4:55:17 PM)/commons-io/src/main/java,org.apache.commons.io.output,DeferredFileOutputStream,5,139,0,12,2,42,0,16,0,10
commons-io2.5 (3-Apr-2019 4:55:17 PM)/commons-io/src/main/java,org.apache.commons.io.output,LockableFileWriter,130,150,7,9,41,41,17,11,12,8
commons-io2.5 (3-Apr-2019 4:55:17 PM)/commons-io/src/main/java,org.apache.commons.io.output,NullOutputStream,0,11,0,0,0,5,0,5,0,5
commons-io2.5 (3-Apr-2019 4:55:17 PM)/commons-io/src/main/java,org.apache.commons.io.output,BrokenOutputStream,7,15,0,0,2,6,1,4,1,4
commons-io2.5 (3-Apr-2019 4:55:17 PM)/commons-io/src/main/java,org.apache.commons.io.output,ProxyWriter,30,161,0,6,10,60,0,17,0,14
